Commune;nbr
Bogny-sur-Meuse 08120;  660
Bohain-en-Vermandois 02110; 1 110
Bois-Colombes 92270; 2 450
Bois-d'Arcy 78390; 1 040
Bois-Guillaume 76230;  880
Bois-le-Roi 77590;  390
Boissy-Saint-Léger 94470; 1 970
Bolbec 76210; 1 690
Bollène 84500; 1 980
Bompas 66430; 1 040
Bonchamp-lès-Laval 53960;  340
Bondoufle 91070;  880
Bondues 59910;  640
Bondy 93140; 8 680
Bon-Encontre 47240;  580
Bonneuil-sur-Marne 94380; 2 280
Bonneville 74130; 1 380
Bonnières-sur-Seine 78270;  680
Bonsecours 76240;  500
Bons-en-Chablais 74890;  500
Bordeaux 33000; 38 370
Bordères-sur-l'Échez 65320;  570
Borgo 20290;  770
Bormes-les-Mimosas 83230; 1 050
Bouaye 44830;  610
Boucau 64340; 1 120
Bouc-Bel-Air 13320; 1 230
Bouchemaine 49080;  450
Bouffémont 95570;  540
Bougival 78380;  720
Bouguenais 44340; 2 780
Bouillante 97125; 1 560
Bouillargues 30230;  520
Boulay-Moselle 57220;  470
Boulazac 24750;  940
Boulogne-Billancourt 92100; 9 580
Boulogne-sur-Mer 62200; 6 430
Bourbon-Lancy 71140;  410
Bourbourg 59630;  830
Bourg-de-Péage 26300; 1 300
Bourg-en-Bresse 01000; 5 680
Bourges 18000; 8 350
Bourg-la-Reine 92340; 1 500
Bourg-lès-Valence 26500; 2 460
Bourgoin-Jallieu 38300; 3 750
Bourg-Saint-Andéol 07700; 1 060
Bourg-Saint-Maurice 73700;  870
Boussy-Saint-Antoine 91800;  720
Bras-Panon 97412; 3 180
Bréal-sous-Montfort 35310;  450
Brebières 62117;  500
Brech 56400;  540
Bressuire 79300; 1 780
Brest 29200; 17 400
Bretignolles-sur-Mer 85470;  420
Brétigny-sur-Orge 91220; 3 090
Breuillet 91650;  730
Briançon 05100; 1 500
Briare 45250;  560
Bricquebec-en-Cotentin 50260;  400
Briec 29510;  510
Brie-Comte-Robert 77170; 1 670
Briey 54150;  770
Brignais 69530; 1 040
Brignoles 83170; 2 640
Brindas 69126;  390
Brioude 43100;  820
Brissac Loire Aubance 49320;  900
Brive-la-Gaillarde 19100; 5 370
Bron 69500; 4 770
Brou-sur-Chantereine 77177;  580
Bruay-la-Buissière 62700; 3 480
Bruay-sur-l'Escaut 59860; 1 950
Bruges 33520; 2 180
Bruguières 31150;  730
Brumath 67170;  820
Brunoy 91800; 1 970
Brunstatt 68350;  670
Bruz 35170; 1 780
Bry-sur-Marne 94360; 1 430
Buc 78530;  340
Bully-les-Mines 62160; 1 650
Bures-sur-Yvette 91440;  530
Bussy-Saint-Georges 77600; 2 800
Buxerolles 86180; 1 020
Cabestany 66330; 1 150
Cabriès 13480;  710
Cachan 94230; 2 940
Cadaujac 33140;  580
Caen 14000; 15 100
Cagnes-sur-Mer 06800; 4 740
Cahors 46000; 2 800
Calais 62100; 11 930
Calonne-Ricouart 62470;  810
Caluire-et-Cuire 69300; 4 090
Calvi 20260;  630
Calvisson 30420;  720
Cambo-les-Bains 64250;  540
Cambrai 59400; 4 870
Cancale 35260;  450
Canéjan 33610;  420
Canet-en-Roussillon 66140; 2 110
Cannes 06400; 9 930
Canohès 66680;  700
Canteleu 76380; 2 210
Capbreton 40130; 1 320
Capesterre-Belle-Eau 97130; 3 680
Cappelle-la-Grande 59180;  860
Carbon-Blanc 33560;  880
Carbonne 31390;  720
Carcassonne 11000; 7 310
Carentan 50500;  760
Carhaix-Plouguer 29270;  750
Carmaux 81400; 1 460
Carnoux-en-Provence 13470;  560
Carpentras 84200; 5 110
Carquefou 44470; 1 570
Carqueiranne 83320;  790
Carrières-sous-Poissy 78955; 2 560
Carrières-sur-Seine 78420; 1 190
Carros 06510; 1 120
Carry-le-Rouet 13620;  460
Carvin 62220; 2 120
Cassis 13260;  590
Castanet-Tolosan 31320; 1 630
Castelginest 31780; 1 290
Castelnaudary 11400; 1 590
Castelnau-d'Estrétefonds 31620;  640
Castelnau-le-Lez 34170; 3 530
Castelsarrasin 82100; 2 040
Castres 81100; 5 540
Castries 34160;  680
Caudan 56850;  540
Caudebec-lès-Elbeuf 76320; 1 610
Caudry 59540; 2 500
Caumont-sur-Durance 84510;  750
Caussade 82300; 1 000
Cavaillon 84300; 4 570
Cavalaire-sur-Mer 83240;  910
Cayenne 97300; 10 790
Cazouls-lès-Béziers 34370;  620
Cébazat 63118;  720
Cenon 33150; 4 220
Céret 66400; 1 230
Cergy 95000; 10 050
Cernay 68700; 1 190
Cesson 77240;  850
Cesson-Sévigné 35510; 1 720
Cessy 01170;  440
Cestas 33610; 1 080
