Commune;nbr
La Salvetat-Saint-Gilles 31880;  720
La Seyne-sur-Mer 83500; 8 220
La Souterraine 23300;  590
La Talaudière 42350;  550
La Teste-de-Buch 33260; 2 770
La Tour-du-Pin 38110;  900
La Trinité 06340;  890
La Trinité 97220; 2 130
La Tronche 38700;  460
La Valette-du-Var 83160; 2 000
La Verpillière 38290;  860
La Verrière 78320;  690
La Ville-aux-Dames 37700;  590
La Ville-du-Bois 91620;  670
La Voulte-sur-Rhône 07800;  640
La Wantzenau 67610;  310
Labarthe-sur-Lèze 31860;  650
Labenne 40530;  770
Labruguière 81290;  650
Lacanau 33680;  770
Lacroix-Saint-Ouen 60610;  470
Lagnieu 01150;  650
Lagny-sur-Marne 77400; 2 400
Lagord 17140;  690
L'Aigle 61300; 1 060
Laillé 35890;  410
Lallaing 59167;  850
Lamballe 22400; 1 440
Lambersart 59130; 2 270
Lambesc 13410;  860
Lambres-lez-Douai 59552;  470
Lamentin 97129; 3 350
Lamorlaye 60260;  580
Lançon-Provence 13680;  890
Landerneau 29800; 1 420
Landivisiau 29400;  880
Lanester 56600; 2 590
Laneuveville-devant-Nancy 54410;  680
Langon 33210; 1 050
Langres 52200; 1 060
Langueux 22360;  760
Languidic 56440;  710
Lannemezan 65300;  700
Lannilis 29870;  420
Lannion 22300; 2 160
Lanton 33138;  620
Laon 02000; 4 310
L'Arbresle 69210;  690
Lardy 91510;  360
Larmor-Plage 56260;  510
Lattes 34970; 1 760
Laudun-l'Ardoise 30290;  620
Launaguet 31140; 1 120
Laval 53000; 6 010
Lavaur 81500; 1 180
Lavelanet 09300; 1 000
Laventie 62840;  350
Laxou 54520; 1 550
Le Barcarès 66420; 1 060
Le Barp 33114;  420
Le Beausset 83330;  970
Le Blanc 36300;  570
Le Blanc-Mesnil 93150; 8 210
Le Boulou 66160;  780
Le Bourget 93350; 2 000
Le Bourget-du-Lac 73370;  370
Le Bouscat 33110; 2 410
Le Cannet 06110; 5 070
Le Castellet 83330;  650
Le Cateau-Cambrésis 59360; 1 220
Le Cendre 63670;  360
Le Chambon-Feugerolles 42500; 1 660
Le Chesnay 78150; 2 000
Le Controis-en-Sologne 41700;  750
Le Coteau 42120;  730
Le Crès 34920;  860
Le Creusot 71200; 2 450
Le Diamant 97223;  980
Le Fenouiller 85800;  360
Le François 97240; 3 080
Le Gosier 97190; 5 480
Le Grand-Quevilly 76120; 3 160
Le Grau-du-Roi 30240; 1 440
Le Haillan 33185; 1 070
Le Havre 76600; 25 850
Le Kremlin-Bicêtre 94270; 2 860
Le Lamentin 97232; 6 320
Le Lavandou 83980;  870
Le Lion-d'Angers 49220;  370
Le Loroux-Bottereau 44430;  660
Le Lorrain 97214; 1 320
Le Luc 83340; 1 510
Le Mans 72000; 21 490
Le Marin 97290; 1 770
Le Mée-sur-Seine 77350; 2 820
Le Mené 22330;  600
Le Mesnil-Esnard 76240;  620
Le Mesnil-le-Roi 78600;  400
Le Mesnil-Saint-Denis 78320;  450
Le Morne-Rouge 97260;  670
Le Moule 97160; 4 520
Le Muy 83490; 1 220
Le Palais-sur-Vienne 87410;  530
Le Passage 47520; 1 010
Le Péage-de-Roussillon 38550;  920
Le Pecq 78230; 1 230
Le Pellerin 44640;  490
Le Perray-en-Yvelines 78610;  420
Le Perreux-sur-Marne 94170; 2 890
Le Petit-Quevilly 76140; 3 720
Le Pian-Médoc 33290;  510
Le Plessis-Bouchard 95130;  670
Le Plessis-Robinson 92350; 1 880
Le Plessis-Trévise 94420; 1 870
Le Poinçonnet 36330;  320
Le Poiré-sur-Vie 85170;  650
Le Pont-de-Claix 38800; 1 270
Le Pontet 84130; 2 340
Le Port 97420; 9 710
Le Portel 62480; 1 230
Le Port-Marly 78560;  530
Le Pradet 83220;  910
Le Pré-Saint-Gervais 93310; 2 650
Le Puy-en-Velay 43000; 2 500
Le Puy-Sainte-Réparade 13610;  600
Le Quesnoy 59530;  640
Le Raincy 93340; 1 440
Le Relecq-Kerhuon 29480;  930
Le Rheu 35650;  990
Le Robert 97231; 3 650
Le Rove 13740;  460
Le Soler 66270;  970
Le Taillan-Médoc 33320;  960
Le Tampon 97430; 21 000
Le Teich 33470;  840
Le Teil 07400; 1 170
Le Thor 84250; 1 000
Le Trait 76580;  530
Le Tréport 76470;  570
Le Vauclin 97280; 1 720
Le Versoud 38420;  290
Le Vésinet 78110; 1 050
Leers 59115;  690
Leforest 62790;  800
Lège-Cap-Ferret 33950;  790
Léguevin 31490;  880
Lempdes 63370;  680
Lens 62300; 6 030
Lentilly 69210;  470
Léognan 33850;  840
Les Abrets en Dauphiné 38490;  540
Les Abymes 97139; 11 940
Les Achards 85150;  480
Les Andelys 27700;  930
Les Angles 30133;  880
Les Arcs 83460;  970
Les Avenières 38630;  630
Les Avirons 97425; 2 480
Les Clayes-sous-Bois 78340; 1 260
Les Essarts 85140;  610
Les Essarts-le-Roi 78690;  400
Les Hauts-d'Anjou 49330;  770
Les Herbiers 85500; 1 360
Les Lilas 93260; 2 950
Les Mureaux 78130; 5 700
Les Pavillons-sous-Bois 93320; 3 070
Les Pennes-Mirabeau 13170; 1 640
Les Ponts-de-Cé 49130; 1 310
Les Sables-d'Olonne 85100; 4 130
Les Sorinières 44840;  850
Les Trois-Bassins 97426; 2 170
Les Trois-Îlets 97229; 1 370
Les Ulis 91940; 2 900
Lescar 64230;  830
Lésigny 77150;  450
Lesneven 29260;  650
Lesparre-Médoc 33340;  890
Lesquin 59810;  760
Lestrem 62136;  380
L'Étang-Salé 97427; 3 360
Levallois-Perret 92300; 5 210
Levens 06670;  400
Lèves 28300;  430
Lézignan-Corbières 11200; 1 580
Lezoux 63190;  660
L'Haÿ-les-Roses 94240; 3 110
L'Hôpital 57490;  660
Liancourt 60140;  780
Libercourt 62820; 1 160
Libourne 33500; 3 630
Lieusaint 77127; 1 350
Liévin 62800; 4 600
Liffré 35340;  700
Ligné 44850;  400
L'Île-Saint-Denis 93450; 1 210
Lille 59000; 35 450
Lillebonne 76170; 1 410
Lillers 62190; 1 380
Limay 78520; 2 680
Limeil-Brévannes 94450; 2 800
Limoges 87000; 16 710
Limours 91470;  350
Limoux 11300; 1 490
Linas 91310;  960
Lingolsheim 67380; 2 460
Linselles 59126;  580
Lisieux 14100; 2 520
L'Isle-Adam 95290;  970
L'Isle-d'Abeau 38080; 2 230
L'Isle-d'Espagnac 16340;  560
L'Isle-Jourdain 32600;  820
L'Isle-sur-la-Sorgue 84800; 2 350
Lisses 91090;  660
Livarot-Pays-d'Auge 14140;  540
Liverdun 54460;  410
Livron-sur-Drôme 26250;  880
Livry-Gargan 93190; 6 080
Loches 37600;  790
Locmaria-Plouzané 29280;  290
Lodève 34700; 1 390
Lognes 77185; 1 460
Loire-Authion 49250; 1 180
Loireauxence 44370;  640
Loison-sous-Lens 62218;  710
Longjumeau 91160; 2 300
Longpont-sur-Orge 91310;  620
Longueau 80330;  660
Longué-Jumelles 49160;  830
Longuenée-en-Anjou 49220;  470
Longuenesse 62219; 1 290
Longuyon 54260;  490
Longvic 21600;  980
Longwy 54400; 1 920
Lons 64140; 1 290
Lons-le-Saunier 39000; 2 060
Loon-Plage 59279;  570
Loos 59120; 2 790
Loos-en-Gohelle 62750;  850
Lorgues 83510; 1 060
Lorient 56100; 7 340
Loriol-sur-Drôme 26270;  780
Lormont 33310; 4 200
Loudéac 22600; 1 030
Loudun 86200;  790
Louhans 71500;  640
Lourdes 65100; 1 880
Louveciennes 78430;  540
Louviers 27400; 2 750
Louvres 95380; 1 250
Louvroil 59720; 1 250
Lucciana 20290;  780
Lucé 28110; 2 310
Luc-la-Primaube 12450;  400
Luçon 85400;  940
Ludon-Médoc 33290;  410
Ludres 54710;  340
Luisant 28600;  600
Lunel 34400; 4 360
Lunéville 54300; 2 840
L'Union 31240; 1 140
Lure 70200; 1 080
Lutterbach 68460;  630
Luxeuil-les-Bains 70300;  830
Luynes 37230;  370
Lyon 69000; 61 580
Lys-Haut-Layon 49310;  700
Lys-lez-Lannoy 59390; 1 540
Mably 42300;  720
Machecoul 44270;  810
Mâcon 71870; 5 210
Macouria 97355; 2 890
Maen Roch 35460;  420
Magnanville 78200;  540
Magny-en-Vexin 95420;  620
Magny-le-Hongre 77700;  690
Magny-les-Hameaux 78114;  640
Mainvilliers 28300; 1 300
Maisons-Alfort 94700; 4 860
Maisons-Laffitte 78600; 1 720
Maizières-lès-Metz 57210; 1 150
Malakoff 92240; 3 130
Malaunay 76770;  630
Malemort-sur-Corrèze 19360;  670
Malesherbes 45330;  830
Mallemort 13370;  730
Malzéville 54220;  840
Mamers 72600;  570
Mana 97360; 1 260
Mandelieu-la-Napoule 06210; 2 660
Manduel 30129;  630
Manosque 04100; 3 170
Mantes-la-Jolie 78200; 7 330
Mantes-la-Ville 78200; 3 130
Marange-Silvange 57159;  490
Marcheprime 33380;  510
Marck 62730; 1 020
Marcoussis 91460;  650
Marcq-en-Baroeul 59700; 3 290
Marennes 17320;  620
Margny-lès-Compiègne 60280;  950
Marguerittes 30320;  880
Marignane 13700; 4 190
Marignier 74970;  540
Maripasoula 97370;  820
Marles-les-Mines 62540;  830
Marly 57157;  670
Marly 59770; 1 620
Marly-la-Ville 95670;  470
Marly-le-Roi 78160; 1 110
Marmande 47200; 2 300
Marnaz 74460;  560
Marolles-en-Hurepoix 91630;  330
Maromme 76150; 1 870
Marquette-lez-Lille 59520; 1 220
Marquise 62250;  560
Marsannay-la-Côte 21160;  400
Marseillan 34340; 1 260
Marseille 13000; 132 210
Marsillargues 34590;  920
Martignas-sur-Jalle 33127;  580
Martigues 13500; 6 430
Massy 91300; 5 460
Matoury 97351; 5 650
Maubeuge 59600; 5 050
Mauges-sur-Loire 49620; 1 330
Mauguio 34130; 2 130
Maule 78580;  420
Mauléon 79700;  580
Maurepas 78310; 1 750
Maxéville 54320; 1 550
Mayenne 53100; 1 180
Mazamet 81200; 1 470
Mazan 84380;  630
Mazé-Milon 49250;  480
Mazingarbe 62670; 1 170
Meaux 77100; 7 600
Mehun-sur-Yèvre 18500;  550
Melesse 35520;  590
Melle 79500;  520
Melun 77000; 6 610
Mende 48000;  960
Mennecy 91540; 1 240
Menton 06500; 3 060
Menucourt 95180;  450
Mer 41500;  700
Méricourt 62680; 1 650
Mériel 95630;  390
Mérignac 33700; 7 830
Méru 60110; 1 960
Merville 59660; 1 060
Merville 31330;  710
Méry-sur-Oise 95540;  850
Mesnils-sur-Iton 27240;  500
Metz 57000; 15 840
Meudon 92190; 3 940
Meulan-en-Yvelines 78250; 1 190
Meung-sur-Loire 45130;  610
Meximieux 01800;  660
Meylan 38240; 1 250
Meyreuil 13590;  590
Meyzieu 69330; 3 630
Mèze 34140; 1 270
Mézidon Vallée d'Auge 14270;  860
Migennes 89400; 1 100
Mignaloux-Beauvoir 86550;  290
Migné-Auxances 86440;  480
Milhaud 30540;  800
Millau 12100; 2 470
Mimizan 40200; 1 080
Mions 69780; 1 190
Mios 33380; 1 050
Miramas 13140; 3 860
Mirecourt 88500;  610
Miribel 01700;  840
Missillac 44780;  450
Mitry-Mory 77290; 1 990
Moëlan-sur-Mer 29350;  540
Moirans 38430;  690
Moissac 82200; 2 730
Moissy-Cramayel 77550; 1 970
Molsheim 67120;  890
Moncoutant-sur-Sèvre 79320;  350
Mondelange 57300;  560
Mondeville 14120; 1 320
Mondonville 31700;  790
Monistrol-sur-Loire 43120;  750
Mons-en-Baroeul 59370; 2 830
Montaigu 85600; 1 350
Montargis 45200; 3 050
Montataire 60160; 1 930
Montauban 82000; 8 260
Montauban-de-Bretagne 35360;  420
Montauroux 83440;  620
Montbard 21500;  570
Montbéliard 25200; 4 350
Montbonnot-Saint-Martin 38330;  340
Montbrison 42600; 1 670
Montceau-les-Mines 71300; 2 230
Montchanin 71210;  500
Mont-de-Marsan 40000; 3 330
Montdidier 80500;  860
Montech 82700;  700
Montélimar 26200; 5 470
Montereau-Fault-Yonne 77130; 3 380
Montesson 78360; 1 130
Monteux 84170; 1 800
Montévrain 77144; 1 310
Montfermeil 93370; 3 760
Montfort-sur-Meu 35160;  490
Montgeron 91230; 2 240
Montigny-en-Gohelle 62640; 1 290
Montigny-le-Bretonneux 78180; 2 350
Montigny-lès-Cormeilles 95370; 2 490
Montigny-lès-Metz 57158; 2 550
Montivilliers 76290; 1 430
Montlhéry 91310;  880
Montlouis-sur-Loire 37270; 1 020
Montluçon 03100; 5 220
Montluel 01120;  710
Montmagny 95360; 1 670
Montmorency 95160; 1 930
Montmorillon 86500;  600
Montoir-de-Bretagne 44550;  700
Montpellier 34000; 49 830
Montpon-Ménestérol 24700;  710
Montreuil 93100; 18 910
Montreuil-Juigné 49460;  630
Montrevault-sur-Èvre 49110; 1 180
Montrond-les-Bains 42210;  390
Montrouge 92120; 4 290
Monts 37260;  530
Mont-Saint-Aignan 76130; 1 490
Mont-Saint-Martin 54350; 1 070
Montval-sur-Loir 72500;  740
Morangis 91420; 1 240
Morcenx-la-Nouvelle 40110;  480
Mordelles 35310;  630
Morières-lès-Avignon 84310;  930
Morlaix 29600; 2 110
Mormant 77720;  450
Mornant 69440;  390
Morne-à-l'Eau 97111; 3 390
Morsang-sur-Orge 91390; 2 070
Mortagne-sur-Sèvre 85290;  440
Morteau 25500;  650
Mouans-Sartoux 06370;  870
Mougins 06250; 1 820
Mouguerre 64990;  420
Mouilleron-le-Captif 85000;  360
Moulins 03000; 2 860
Moulins-lès-Metz 57160;  450
Mourenx 64150;  800
Mourmelon-le-Grand 51400;  330
Mouroux 77120;  450
Mouvaux 59420; 1 020
Mouy 60250;  660
Moyeuvre-Grande 57250;  860
Mulhouse 68100; 19 530
Mulsanne 72230;  420
Mundolsheim 67450;  420
Muret 31600; 3 410
Mûrs-Erigné 49130;  520
Mutzig 67190;  570
Muzillac 56190;  360
Naintré 86530;  540
Nancy 54000; 13 720
Nandy 77176;  620
Nangis 77370; 1 030
Nans-les-Pins 83860;  380
Nanterre 92000; 12 380
Nantes 44000; 43 690
Nanteuil-lès-Meaux 77100;  600
Narbonne 11100; 9 210
Nègrepelisse 82800;  600
Nemours 77140; 1 810
Nérac 47600;  800
Neufchâteau 88300;  860
Neuilly-Plaisance 93360; 2 200
Neuilly-sur-Marne 93330; 4 640
Neuilly-sur-Seine 92200; 3 750
Neuves-Maisons 54230;  660
Neuville-aux-Bois 45170;  370
Neuville-de-Poitou 86170;  440
Neuville-en-Ferrain 59960;  660
Neuville-sur-Saône 69250;  800
Nevers 58000; 4 210
Nice 06000; 41 010
Nieppe 59850;  670
Nieul-sur-Mer 17137;  470
Nîmes 30000; 24 040
Niort 79000; 6 320
Noeux-les-Mines 62290; 1 640
Nogent-le-Rotrou 28400; 1 120
Nogent-sur-Marne 94130; 2 730
Nogent-sur-Oise 60180; 3 100
Nogent-sur-Seine 10400;  610
Noisiel 77186; 2 020
Noisy-le-Grand 93160; 8 410
Noisy-le-Roi 78590;  440
Noisy-le-Sec 93130; 6 680
Nort-sur-Erdre 44390;  720
Notre-Dame-de-Bondeville 76960;  800
Notre-Dame-de-Gravenchon 76330; 1 020
Nouzonville 08700;  780
Noves 13550;  690
Noyal-Châtillon-sur-Seiche 35230;  880
Noyal-sur-Vilaine 35530;  460
Noyant-Villages 49490;  710
Noyelles-Godault 62950;  840
Noyelles-sous-Lens 62221; 1 030
Noyon 60400; 2 220
Nueil-les-Aubiers 79250;  420
Nuits-Saint-Georges 21700;  440
Nyons 26110;  810
Oberhausbergen 67205;  510
Obernai 67210; 1 080
Octeville-sur-Mer 76930;  360
Oignies 62590; 1 380
Oissel 76350; 1 510
Olivet 45160; 1 670
Ollainville 91290;  440
Ollioules 83190; 1 490
Oloron-Sainte-Marie 64400; 1 390
Ombrée d'Anjou 49420;  890
Ondres 40440;  730
Onet-le-Château 12850; 1 090
Onnaing 59264; 1 200
Oraison 04700;  590
Orange 84100; 4 040
Orchies 59310;  990
Orée d'Anjou 49270; 1 350
Orgères 35230;  540
Orgeval 78630;  490
Orléans 45000; 15 870
Orly 94310; 2 900
Ormesson-sur-Marne 94490;  710
Orsay 91400; 1 100
Orthez 64300; 1 150
Orvanne 77250;  920
Orvault 44700; 2 400
Osny 95520; 1 820
Ostricourt 59162;  820
Ostwald 67540; 1 760
Othis 77280;  510
Ouistreham 14150;  850
Oullins 69600; 3 490
Outreau 62230; 1 500
Oye-Plage 62215;  490
Oyonnax 01100; 3 210
Ozoir-la-Ferrière 77330; 1 850
Pacé 35740;  910
Pacy-sur-Eure 27120;  540
Paimpol 22500;  720
Palaiseau 91120; 2 850
Palavas-les-Flots 34250;  960
Pamiers 09100; 2 330
Panazol 87350;  850
Pantin 93500; 9 290
Papaichton 97316;  300
Paray-le-Monial 71600;  770
Paray-Vieille-Poste 91550;  680
Parempuyre 33290; 1 050
Parentis-en-Born 40160;  870
Parigné-l'Évêque 72250;  310
Paris 75000; 249 230
Parmain 95620;  350
Parthenay 79200; 1 040
Passy 74190;  850
Pau 64000; 10 800
Pauillac 33250;  810
Pavilly 76570; 1 060
Pecquencourt 59146; 1 070
Pégomas 06580;  680
Pélissanne 13330;  990
Penmarch 29760;  500
Pérenchies 59840;  680
Périgny 17180;  790
Périgueux 24000; 4 250
Pernes-les-Fontaines 84210; 1 050
Pérols 34470; 1 180
Péronnas 01960;  560
Péronne 80200; 1 220
Perpignan 66000; 25 580
Perros-Guirec 22700;  640
Persan 95340; 1 850
Pertuis 84120; 2 430
Pessac 33600; 5 740
Petit-Bourg 97170; 3 980
Petit-Canal 97131; 1 480
Petit-Caux 76370;  710
Petit-Couronne 76650; 1 070
Petite-Forêt 59494;  580
Petite-Île 97429; 2 990
Petite-Rosselle 57540;  710
Peymeinade 06530;  780
Peypin 13124;  450
Peyrolles-en-Provence 13860;  580
Pézenas 34120; 1 430
Pfastatt 68120; 1 020
Pia 66380; 1 820
Pibrac 31820;  710
Pierre-Bénite 69310;  490
Pierrefeu-du-Var 83390;  490
Pierrefitte-sur-Seine 93380;  40
Pierrelatte 26700; 1 800
Pierrelaye 95480; 1 160
Pignan 34570;  820
Piolenc 84420;  630
Pithiviers 45300; 1 360
Plabennec 29860;  620
Plaisance-du-Touch 31830; 2 060
Plaisir 78370; 2 770
Plan-de-Cuques 13380;  770
Plédran 22960;  500
Plérin 22190; 1 160
Plescop 56890;  640
Plessé 44630;  560
Pleurtuit 35730;  670
Ploemeur 56270; 1 250
Ploeren 56880;  540
Ploërmel 56800;  890
Plonéour-Lanvern 29720;  600
Plouay 56240;  410
Ploudalmézeau 29830;  400
Ploufragan 22440; 1 190
Plougastel-Daoulas 29470; 1 060
Plouguerneau 29880;  580
Plouhinec 56680;  500
Plouigneau 29610;  380
Ploumagoar 22970;  470
Plouzané 29280;  840
Pluneret 56400;  550
Pluvigner 56330;  640
Pointe-à-Pitre 97110; 3 890
Pointe-Noire 97116; 1 260
Poissy 78300; 4 390
Poisy 74330; 1 000
Poitiers 86000; 12 160
Pollestres 66450;  670
Pont-à-Mousson 54700; 1 570
Pontarlier 25300; 2 110
Pont-Audemer 27500; 1 360
Pontault-Combault 77340; 3 650
Pontcharra 38530;  690
Pontchâteau 44160;  940
Pont-de-Chéruy 38230;  660
Pont-du-Château 63430;  970
Pont-Évêque 38780;  680
Pontivy 56300; 1 310
Pont-l'Abbé 29120;  820
Pont-l'Évêque 14130;  440
Pontoise 95000; 3 780
Pont-Sainte-Marie 10150;  680
Pont-Sainte-Maxence 60700; 1 520
Pont-Saint-Esprit 30130; 1 470
Pont-Saint-Martin 44860;  500
Pordic 22590;  580
Pornic 44210; 1 450
Pornichet 44380; 1 060
Port-de-Bouc 13110; 3 390
Portes-lès-Valence 26800; 1 100
Portet-sur-Garonne 31120; 1 080
Port-la-Nouvelle 11210;  920
Port-Louis 97117; 1 250
Porto-Vecchio 20137; 1 640
Port-Saint-Louis-du-Rhône 13230; 1 090
Pourrières 83910;  430
Poussan 34560;  730
Pouzauges 85700;  450
Prades 66500; 1 030
Prades-le-Lez 34730;  560
Prévessin-Moëns 01280;  640
Privas 07000; 1 070
Provins 77160; 1 550
Publier 74500;  780
Puget-sur-Argens 83480; 1 240
Puilboreau 17138;  570
Pulnoy 54420;  410
Puteaux 92800; 4 060
Quesnoy-sur-Deûle 59890;  550
Questembert 56230;  720
Quetigny 21800;  990
Quéven 56530;  690
Quiévrechain 59920;  930
Quimper 29000; 7 230
Quimperlé 29300; 1 360
Quincy-sous-Sénart 91480;  940
Quincy-Voisins 77860;  390
Quint-Fonsegrives 31130;  450
Rabastens 81800;  720
Raismes 59590; 1 990
Rambervillers 88700;  710
Rambouillet 78120; 2 050
Ramonville-Saint-Agne 31520; 1 760
Raon-l'Étape 88110;  990
Redon 35600; 1 200
Reichshoffen 67110;  500
Reignier-Ésery 74930;  730
Reims 51100; 25 550
Remiremont 88200;  930
Remire-Montjoly 97354; 2 480
Rennes 35000; 32 470
Rethel 08300;  850
Revel 31250; 1 140
Revin 08500;  890
Reyrieux 01600;  370
Rezé 44400; 5 330
Riantec 56670;  520
Riedisheim 68400; 1 160
Rillieux-la-Pape 69140; 3 930
Riom 63200; 2 230
Riorges 42153; 1 030
Ris-Orangis 91130; 3 760
Rive-de-Gier 42800; 1 930
Rives 38140;  600
Rivesaltes 66600; 1 480
Rives-du-Loir-en-Anjou 49140;  370
Rivière-Pilote 97211; 2 190
Rivière-Salée 97215; 2 210
Rixheim 68170; 1 410
Roanne 42300; 5 130
Rocbaron 83136;  520
Rochefort 17300; 3 380
Rochefort-du-Gard 30650;  720
Roche-la-Molière 42230;  920
Rodez 12000; 2 490
Rognac 13340; 1 170
Roissy-en-Brie 77680; 2 180
Romagnat 63540;  570
Romainville 93230; 5 100
Romans-sur-Isère 26100; 4 760
Rombas 57120; 1 070
Romilly-sur-Seine 10100; 2 280
Romorantin-Lanthenay 41200; 2 480
Ronchin 59790; 2 450
Roncq 59223; 1 110
Roost-Warendin 59286;  660
Roquebrune-Cap-Martin 06190; 1 100
Roquebrune-sur-Argens 83520; 1 860
Roquefort-la-Bédoule 13830;  430
Roquefort-les-Pins 06330;  490
Roquemaure 30150;  710
Roques 31120;  620
Roquevaire 13360;  860
Rosheim 67560;  350
Rosières-près-Troyes 10430;  350
Rosny-sous-Bois 93110; 6 600
Rosny-sur-Seine 78710;  860
Rosporden 29140;  680
Roubaix 59100; 19 880
Rouen 76000; 17 360
Rousset 13790;  590
Roussillon 38150;  940
Rouvroy 62320; 1 270
Royan 17200; 2 200
Roye 80700;  920
Rueil-Malmaison 92500; 6 770
Ruelle-sur-Touvre 16600;  820
Rumilly 74150; 1 500
Rungis 94150;  410
Sablé-sur-Sarthe 72300; 1 470
Sainghin-en-Weppes 59184;  360
Sains-en-Gohelle 62114;  740
Saint-Affrique 12400;  720
Saint-Alban 31140;  830
Saint-Alban-Leysse 73230;  610
Saint-Amand-les-Eaux 59230; 1 870
Saint-Amand-Montrond 18200; 1 010
Saint-André 97440; 13 870
Saint-André-de-Cubzac 33240; 1 490
Saint-André-de-la-Roche 06730;  420
Saint-André-de-Sangonis 34725;  820
Saint-André-des-Eaux 44117;  490
Saint-André-les-Vergers 10120; 1 450
Saint-André-lez-Lille 59350; 1 290
Saint-Apollinaire 21850;  590
Saint-Arnoult-en-Yvelines 78730;  340
Saint-Astier 24110;  580
Saint-Aubin-de-Médoc 33160;  580
Saint-Aubin-lès-Elbeuf 76410;  980
Saint-Avé 56890;  950
Saint-Avertin 37550; 1 090
Saint-Avold 57500; 2 040
Saint-Barthélemy-d'Anjou 49124; 1 080
Saint-Benoît 86280;  560
Saint-Benoît 97470; 10 160
Saint-Berthevin 53940;  560
Saint-Bonnet-de-Mure 69720;  400
Saint-Brevin-les-Pins 44250; 1 090
Saint-Brice-sous-Forêt 95350; 1 490
Saint-Brieuc 22000; 6 520
Saint-Cannat 13760;  530
Saint-Chamas 13250;  880
Saint-Chamond 42400; 4 480
Saint-Chéron 91530;  410
Saint-Christol-lès-Alès 30380;  960
Saint-Claude 39200; 1 010
Saint-Claude 97120; 1 320
Saint-Clément-de-Rivière 34980;  330
Saint-Cloud 92210; 1 970
Saint-Cyprien 66750; 1 740
Saint-Cyr-au-Mont-d'Or 69450;  480
Saint-Cyr-l'École 78210; 1 880
Saint-Cyr-sur-Loire 37540; 1 490
Saint-Cyr-sur-Mer 83270; 1 190
Saint-Denis 93200; 21 980
Saint-Denis 97400; 33 860
Saint-Denis-de-Pile 33910;  760
Saint-Denis-en-Val 45560;  510
Saint-Denis-lès-Bourg 01000;  450
Saint-Didier-au-Mont-d'Or 69370;  430
Saint-Dié-des-Vosges 88100; 3 250
Saint-Dizier 52100; 3 200
Saint-Doulchard 18230;  640
Sainte-Adresse 76310;  470
Sainte-Anne 97180; 4 510
Sainte-Eulalie 33560;  460
Sainte-Foy-lès-Lyon 69110; 1 670
Sainte-Geneviève-des-Bois 91700; 3 680
Saint-Égrève 38120; 1 390
Sainte-Livrade-sur-Lot 47110;  890
Sainte-Luce 97228; 1 560
Sainte-Luce-sur-Loire 44980; 1 340
Sainte-Marie 97230; 3 110
Sainte-Marie 97438; 7 760
Sainte-Marie-aux-Mines 68160;  500
Sainte-Maxime 83120; 1 730
Sainte-Pazanne 44680;  520
Sainte-Rose 97115; 3 770
Sainte-Rose 97439; 1 880
Saintes 17100; 3 100
Sainte-Savine 10300; 1 280
Sainte-Sigolène 43600;  540
Sainte-Soulle 17220;  460
Saint-Esprit 97270; 1 490
Saint-Estève 66240; 1 270
Sainte-Suzanne 97441; 5 490
Saint-Étienne 42000; 25 130
Saint-Étienne-au-Mont 62360;  500
Saint-Étienne-de-Montluc 44360;  520
Saint-Étienne-du-Rouvray 76800; 4 150
Saint-Fargeau-Ponthierry 77310; 1 450
Saint-Florent-sur-Cher 18400;  610
Saint-Flour 15100;  610
Saint-Fons 69190; 3 160
Saint-François 97118; 3 210
Saint-Galmier 42330;  420
Saint-Gaudens 31800; 1 840
Saint-Gély-du-Fesc 34980;  660
Saint-Genest-Lerpt 42530;  510
Saint-Genis-Laval 69230; 1 620
Saint-Genis-les-Ollières 69290;  360
Saint-Genis-Pouilly 01630; 1 180
Saint-Georges-de-Didonne 17110;  440
Saint-Georges-d'Orques 34680;  650
Saint-Germain-du-Puy 18390;  410
Saint-Germain-en-Laye 78100; 3 420
Saint-Germain-lès-Arpajon 91180; 1 090
Saint-Germain-lès-Corbeil 91250;  580
Saint-Gervais-les-Bains 74170;  530
Saint-Gilles 30800; 2 460
Saint-Gilles 35590;  420
Saint-Gilles-Croix-de-Vie 85800;  720
Saint-Girons 09200;  930
Saint-Gratien 95210; 2 320
Saint-Grégoire 35760;  710
Saint-Herblain 44800; 5 970
Saint-Hilaire-de-Riez 85270; 1 230
Saint-Hilaire-du-Harcouët 50600;  490
Saint-Ismier 38330;  400
Saint-Jacques-de-la-Lande 35136; 1 960
Saint-Jean 31240; 1 060
Saint-Jean-Bonnefonds 42650;  540
Saint-Jean-d'Angély 17400;  970
Saint-Jean-de-Boiseau 44640;  540
Saint-Jean-de-Braye 45800; 2 770
Saint-Jean-de-la-Ruelle 45140; 2 340
Saint-Jean-de-Luz 64500; 1 770
Saint-Jean-de-Maurienne 73300;  470
Saint-Jean-de-Monts 85160; 1 130
Saint-Jean-de-Védas 34430; 1 530
Saint-Jean-d'Illac 33127;  750
Saint-Jean-le-Blanc 45650;  980
Saint-Jorioz 74410;  470
Saint-Jory 31790; 1 320
Saint-Joseph 97212; 2 590
Saint-Joseph 97480; 10 530
Saint-Juéry 81160;  770
Saint-Julien-de-Concelles 44450;  550
Saint-Julien-en-Genevois 74160; 1 580
Saint-Julien-les-Villas 10800;  790
Saint-Junien 87200; 1 220
Saint-Just-en-Chaussée 60130;  810
Saint-Just-Saint-Rambert 42170; 1 040
