Commune;nbr_stud
Haubourdin;2266
Hautmont;1021
Hauts de Bienne;856
Hayange;1127
Hazebrouck;3811
Heillecourt;552
Hem;1079
Hendaye;910
Hennebont;3155
Henrichemont;357
Herbignac;918
Herblay-sur-Seine;3149
Herrlisheim;341
Hersin-Coupigny;327
Hesdin-la-Forêt;555
Hettange-Grande;656
Heuchin;207
Heyrieux;552
Hienghene;166
Hillion;734
Hirsingue;519
Hirson;1191
Hitiaa;241
Hiva-oa;263
Hochfelden;724
Hoerdt;400
Hombourg-Haut;243
Homécourt;521
Hondschoote;526
Honfleur;968
Houailou;170
Houdain;602
Houdan;722
Houilles;2120
Houplines;528
Hourtin;402
Huahine;423
Hucqueliers;426
Huelgoat;147
Huningue;666
Huriel;256
Hyères;5563
Hégenheim;747
Hénin-Beaumont;3600
Héricourt;1473
Hérimoncourt;327
Hérouville-Saint-Clair;2185
Ifs;795
Igny;1031
Igon;52
Ile-des-pins;128
Illfurth;392
Illiers-Combray;541
Illkirch-Graffenstaden;2088
Illzach;857
Imphy;245
Ingersheim;549
Ingrandes-le-Fresne-sur-Loire;212
Ingré;1973
Ingwiller;287
Iracoubo;146
Irigny;642
Is-sur-Tille;695
Isbergues;417
Isigny-le-Buat;125
Isigny-sur-Mer;180
Isle;680
Isneauville;575
Issenheim;1109
Issoire;2874
Issou;653
Issoudun;1297
Issy-les-Moulineaux;3655
Istres;3139
Itteville;530
Ivry-sur-Seine;3824
Iwuy;318
Jacou;850
Jaligny-sur-Besbre;133
Janville-en-Beauce;313
Janzé;1245
Jargeau;651
Jarnac;586
Jarny;1712
Jarrie;573
Jarville-la-Malgrange;1965
Jassans-Riottier;554
Jaunay-Marigny;1732
Jeumont;953
Joigny;2021
Joinville;622
Joinville-le-Pont;892
Jonzac;1086
Josselin;493
Jouars-Pontchartrain;595
Jouy-le-Moutier;1646
Joué-lès-Tours;3468
Joyeuse;298
Juilly;490
Juniville;328
Jurançon;891
Jussey;276
Juvisy-sur-Orge;596
Kani-Kéli;765
Kaysersberg Vignoble;211
Kingersheim;567
Kone;960
Koungou;3670
Kourou;3250
Kédange-sur-Canner;652
L'Aigle;1764
L'Arbresle;1167
L'Escarène;381
L'Etang-Salé;1129
L'Haÿ-les-Roses;1272
L'Hôpital;344
L'Ile-Bouchard;211
L'Ile-Rousse;812
L'Ile-Saint-Denis;292
L'Ile-d'Elle;257
L'Ile-d'Yeu;147
L'Isle-Adam;2395
L'Isle-Jourdain;1928
L'Isle-d'Abeau;2580
L'Isle-en-Dodon;132
L'Isle-sur-la-Sorgue;1786
L'Isle-sur-le-Doubs;356
L'Union;830
La Bassée;1692
La Baule-Escoublac;1090
La Boisse;1372
La Bresse;171
La Broque;441
La Brède;1723
La Bâtie-Neuve;370
La Canourgue;216
La Capelle;330
La Cavalerie;83
La Celle-Saint-Cloud;2030
La Chaise-Dieu;78
La Chapelle-Saint-Luc;1156
La Chapelle-Saint-Mesmin;537
La Chapelle-de-Guinchay;538
La Chapelle-en-Serval;367
La Chapelle-en-Vercors;209
La Chapelle-la-Reine;515
La Chapelle-sur-Erdre;1366
La Charité-sur-Loire;424
La Chartre-sur-le-Loir;196
La Châtre;753
La Ciotat;2346
La Clayette;219
La Colle-sur-Loup;738
La Coquille;146
La Courneuve;3016
La Couronne;582
La Crau;197
La Crèche;682
La Côte-Saint-André;2426
La Désirade;42
La Farlède;490
La Ferrière-aux-Etangs;267
La Ferté Macé;839
La Ferté-Alais;539
La Ferté-Bernard;1911
La Ferté-Gaucher;680
La Ferté-Saint-Aubin;607
La Ferté-sous-Jouarre;2772
La Feuillie;265
La Flèche;2418
La Force;512
La Fère;414
La Gacilly;452
La Garde;2188
La Garenne-Colombes;1076
La Grand-Combe;405
La Grand-Croix;745
La Grande-Motte;770
La Guerche-de-Bretagne;791
La Guerche-sur-l'Aubois;269
La Hague;462
La Haye;216
La Haye-Pesnel;293
La Jarrie;623
La Londe-les-Maures;343
La Loupe;436
La Machine;128
La Madeleine;1770
La Monnerie-le-Montel;291
La Montagne;778
La Mothe-Saint-Héray;254
La Motte-Servolex;1036
La Motte-d'Aveillans;170
La Motte-du-Caire;110
La Mulatière;1088
La Mure;1164
La Mézière;591
La Norville;1501
La Pacaudière;261
La Plaine-des-Palmistes;476
La Porte du Der;285
La Possession;3315
La Queue-en-Brie;627
La Queue-les-Yvelines;1036
La Ravoire;2053
La Ricamarie;268
La Richardais;575
La Roche-Bernard;610
La Roche-Chalais;112
La Roche-Posay;291
La Roche-sur-Foron;2278
La Roche-sur-Yon;9212
La Rochefoucauld-en-Angoumois;602
La Rochelle;10556
La Rochette;74
La Réole;1057
La Salvetat-Saint-Gilles;722
La Saussaye;561
La Seyne-sur-Mer;5435
La Souterraine;743
La Suze-sur-Sarthe;494
La Talaudière;864
La Teste-de-Buch;747
La Tour-d'Aigues;709
La Tour-d'Auvergne;113
La Tour-du-Pin;1997
La Tremblade;530
La Trinité;1979
La Trinité-Porhoët;157
La Tronche;142
La Valette-du-Var;559
La Verpillière;646
La Ville-du-Bois;1552
La Voulte-sur-Rhône;583
La Vôge-les-Bains;115
La Wantzenau;570
La foa;517
Labarthe-sur-Lèze;603
Labastide-Saint-Pierre;603
Labenne;611
Labergement-Sainte-Marie;111
Labouheyre;431
Labrit;303
Labruguière;680
Lacanau;537
Lacroix-Saint-Ouen;632
Lafrançaise;526
Lagnieu;790
Lagny-sur-Marne;4418
Lagord;902
Laguiole;70
Laignes;76
Laillé;464
Laissac-Sévérac l'Eglise;171
Lalbenque;177
Lalinde;359
Lallaing;389
Lamarche;146
Lamastre;303
Lamballe-Armor;3105
Lambersart;3676
Lambesc;499
Lambres-lez-Douai;470
Lamentin;775
Lamorlaye;529
Lamotte-Beuvron;445
Lamure-sur-Azergues;333
Landerneau;3089
Landivisiau;1885
Landivy;183
Landos;159
Landrecies;867
Landres;24
Landser;1030
Lanester;1694
Langeac;305
Langeais;756
Langogne;340
Langon;2802
Langres;1559
Languidic;329
Lanmeur;368
Lannemezan;958
Lannilis;763
Lannion;3608
Lanouaille;177
Lanvollon;272
Lançon-Provence;562
Laon;3961
Lapalisse;357
Laragne-Montéglin;293
Larceveau-Arros-Cibits;244
Larche;582
Lardy;481
Largentière;410
Laroquebrou;148
Laruns;103
Lassay-les-Châteaux;221
Lasseube;220
Lassigny;406
Latillé;442
Latresne;977
Lattes;1825
Launaguet;534
Lauterbourg;303
Lauzerte;282
Laval;9346
Lavans-lès-Saint-Claude;238
Lavardac;250
Lavaur;745
Lavelanet;15
Laventie;911
Laxou;577
Le Ban-Saint-Martin;619
Le Barp;266
Le Beausset;696
Le Blanc;804
Le Blanc-Mesnil;5009
Le Bourg-d'Oisans;415
Le Bourget;1624
Le Bouscat;1846
Le Bugue;256
Le Cannet;1237
Le Carbet;291
Le Castellet;356
Le Cateau-Cambrésis;931
Le Chambon-Feugerolles;730
Le Chambon-sur-Lignon;141
Le Chesnay-Rocquencourt;2669
Le Cheylard;682
Le Château-d'Oléron;349
Le Châtelard;258
Le Châtelet-en-Brie;539
Le Collet-de-Dèze;71
Le Conquet;147
Le Controis-en-Sologne;677
Le Coteau;594
Le Creusot;1488
Le Diamant;279
Le Donjon;129
Le Dorat;179
Le Faouët;342
Le Fousseret;402
Le François;1186
Le Gosier;1099
Le Grand-Lemps;659
Le Grand-Lucé;282
Le Grand-Quevilly;2500
Le Grand-Serre;314
Le Grau-du-Roi;511
Le Haillan;854
Le Havre;13236
Le Houlme;528
Le Kremlin-Bicêtre;2223
Le Lamentin;2499
Le Lion-d'Angers;990
Le Loroux-Bottereau;1322
Le Lorrain;420
Le Malesherbois;533
Le Mans;15843
Le Marigot;122
Le Marin;903
Le Martinet;66
Le Mas-d'Agenais;395
Le Mas-d'Azil;302
Le May-sur-Evre;311
Le Mayet-de-Montagne;180
Le Mené;202
Le Mesnil-Esnard;2075
Le Mesnil-Saint-Denis;938
Le Molay-Littry;285
Le Monastier-sur-Gazeille;352
Le Montsaugeonnais;244
Le Morne-Rouge;296
Le Moule;1593
Le Muy;1637
Le Mée-sur-Seine;1968
Le Mérévillois;756
Le Mêle-sur-Sarthe;273
Le Neubourg;1154
Le Nouvion-en-Thiérache;272
Le Palais;196
Le Passage;880
Le Pecq;957
Le Pellerin;569
Le Perreux-sur-Marne;2204
Le Petit-Quevilly;913
Le Pian-Médoc;626
Le Pian-sur-Garonne;559
Le Plessis-Bouchard;471
Le Plessis-Robinson;1616
Le Plessis-Trévise;814
Le Poiré-sur-Vie;680
Le Pont-de-Beauvoisin;1702
Le Pont-de-Claix;450
Le Pontet;719
Le Port;3214
Le Portel;489
Le Pouzin;356
Le Pré-Saint-Gervais;904
Le Puy-Sainte-Réparade;506
Le Puy-en-Velay;3658
Le Péage-de-Roussillon;903
Le Quesnoy;1545
Le Raincy;3608
Le Relecq-Kerhuon;1022
Le Rheu;1281
Le Robert;950
Le Russey;351
Le Soler;609
Le Taillan-Médoc;1619
Le Tampon;7817
Le Teich;442
Le Teil;1240
Le Thillot;381
Le Tholy;162
Le Thor;637
Le Touquet-Paris-Plage;475
Le Touvet;613
Le Trait;320
Le Tréport;426
Le Val d'Hazey;495
Le Vauclin;285
Le Vaudreuil;542
Le Vigan;873
Le Vésinet;2976
Lectoure;790
Leers;523
Leforest;591
Legé;221
Lemberg;285
Lembeye;246
Lempdes;684
Lencloître;521
Lens;5294
Lentilly;794
Les Abrets en Dauphiné;679
Les Abymes;5747
Les Achards;1096
Les Ancizes-Comps;205
Les Andelys;1321
Les Anses-d'Arlet;121
Les Arcs;754
Les Avenières Veyrins-Thuellin;531
Les Avirons;1408
Les Bordes;482
Les Brouzils;376
Les Clayes-sous-Bois;942
Les Echelles;335
Les Essarts-le-Roi;728
Les Fontenelles;73
Les Hauts-d'Anjou;428
Les Herbiers;3303
Les Lilas;1229
Les Martres-de-Veyre;772
Les Monts d'Aunay;423
Les Mureaux;3159
Les Pavillons-sous-Bois;1727
Les Pennes-Mirabeau;1335
Les Pieux;393
Les Ponts-de-Cé;1672
Les Rousses;405
Les Sables-d'Olonne;4314
Les Trois-Bassins;1000
Les Trois-Ilets;312
Les Ulis;2148
Les Vans;275
Les Villages Vovéens;448
Lescar;1805
Lesneven;1997
Lesparre-Médoc;803
Lesquin;1296
Lessay;284
Lestelle-Bétharram;222
Levallois-Perret;3970
Levie;54
Levier;264
Levroux;234
Lexy;653
Leyment;683
Lezay;227
Lezoux;687
Liancourt;605
Libercourt;337
Libourne;5057
Licques;402
Liernais;67
Liesse-Notre-Dame;115
Lieusaint;802
Liffol-le-Grand;163
Liffré;2576
Lifou;278
Lignières;180
Ligny-en-Barrois;483
Ligné;419
Ligueil;355
Lille;19939
Lillebonne;1901
Lillers;1599
Limas;687
Limay;2187
Limeil-Brévannes;2553
Limoges;13831
Limonest;244
Limours;1725
Limoux;1647
Lingolsheim;1238
Linselles;938
Linxe;412
Lisieux;3499
Lisses;479
Livarot-Pays-d'Auge;240
Liverdun;487
Livron-sur-Drôme;595
Livry-Gargan;4658
Lizy-sur-Ourcq;463
Liévin;3027
Loches;2032
Locminé;874
Lodève;1178
Lognes;1851
Loireauxence;699
Londinières;237
Longchamp;71
Longeville-lès-Saint-Avold;338
Longjumeau;1651
Longlaville;453
Longny les Villages;166
Longperrier;759
Longpré-les-Corps-Saints;285
Longueau;423
Longuenesse;2427
Longueville-sur-Scie;414
Longuyon;575
Longué-Jumelles;882
Longvic;606
Longwy;3032
Lons-le-Saunier;3146
Loon-Plage;301
Loos;1389
Loos-en-Gohelle;298
Loretz-d'Argenton;167
Lorgues;1589
Lorient;6356
Loriol-sur-Drôme;402
Lormes;89
Lormont;2958
Lorquin;280
Lorrez-le-Bocage-Préaux;544
Lorris;448
Loudun;1195
Loudéac;1585
Louhans;1491
Loulay;181
Loupian;590
Lourches;463
Lourdes;904
Loures-Barousse;180
Louviers;3549
Louvres;1852
Louvroil;413
Loué;680
Lubersac;275
Lucciana;760
Lucé;938
Ludres;590
Lugny;589
Luisant;1604
Lumbres;1193
Lunel;3866
Lunéville;2601
Lurcy-Lévis;195
Lure;1768
Luri;120
Lusignan;449
Lusigny-sur-Barse;504
Lussac;322
Lussac-les-Châteaux;424
Lutterbach;594
Luxeuil-les-Bains;1327
Luynes;395
Luzarches;1514
Luzech;364
Luzy;124
Luçon;2154
Lyon 1er Arrondissement;4911
Lyon 2e  Arrondissement;4046
Lyon 3e  Arrondissement;5718
Lyon 4e  Arrondissement;3355
Lyon 5e  Arrondissement;12383
Lyon 6e  Arrondissement;4899
Lyon 7e  Arrondissement;6576
Lyon 8e  Arrondissement;6895
Lyon 9e  Arrondissement;3510
Lys-Haut-Layon;628
Lys-lez-Lannoy;705
Lège-Cap-Ferret;565
Lédignan;433
Léguevin;870
Léognan;623
Lésigny;795
Lézignan-Corbières;2236
M'Tsangamouji;1223
Mably;455
Machecoul-Saint-Même;1730
Macouria;1658
Maen Roch;687
Magnanville;1597
Magny-en-Vexin;711
Magny-le-Hongre;648
Magny-les-Hameaux;476
Mahina;654
Maignelay-Montigny;353
Maintenon;559
Mainvilliers;511
Maisons-Alfort;3742
Maisons-Laffitte;1674
Maizières-lès-Metz;880
Makemo;151
Malakoff;1494
Malansac;297
Malestroit;945
Mallemort;569
Malzéville;601
Mamers;799
Mamoudzou;13810
Mana;1530
Mandelieu-la-Napoule;1206
Mandeure;326
Mandres-les-Roses;410
Manduel;481
Manosque;2916
Mansle-les-Fontaines;301
Mantes-la-Jolie;5826
Mantes-la-Ville;1486
Manzat;208
Marange-Silvange;403
Marans;753
Maraussan;57
Marboz;114
Marcheprime;620
Marchiennes;333
Marciac;203
Marcigny;333
Marcillac-Vallon;577
Marcillat-en-Combraille;103
Marck;594
Marckolsheim;523
Marcoussis;456
Marcq-en-Baroeul;4976
Marennes-Hiers-Brouage;472
Mareuil en Périgord;153
Mareuil-le-Port;281
Margencel;621
Margency;1611
Margny-lès-Compiègne;661
Marguerittes;748
Marignane;3665
Marignier;628
Marigny-Le-Lozon;307
Marigny-le-Châtel;333
Marines;712
Maringues;609
Maripasoula;574
Marle;246
Marlenheim;600
Marles-les-Mines;422
Marly;1490
Marly-la-Ville;560
Marly-le-Roi;1830
Marmande;3041
Marmoutier;355
Marnay;511
Marolles-en-Hurepoix;671
Marolles-les-Braults;179
Maromme;645
Marquette-lez-Lille;601
Marquion;591
Marquise;1261
Marsannay-la-Côte;384
Marsas;684
Marseillan;405
Marseille  1er Arrondissement;2748
Marseille  2e  Arrondissement;1321
Marseille  3e  Arrondissement;2353
Marseille  4e  Arrondissement;2821
Marseille  5e  Arrondissement;1986
Marseille  6e  Arrondissement;5745
Marseille  7e  Arrondissement;949
Marseille  8e  Arrondissement;7609
Marseille  9e  Arrondissement;3840
Marseille 10e  Arrondissement;3574
Marseille 11e  Arrondissement;3145
Marseille 12e  Arrondissement;4906
Marseille 13e  Arrondissement;7531
Marseille 14e  Arrondissement;2943
Marseille 15e  Arrondissement;4211
Marseille 16e  Arrondissement;634
Marseille-en-Beauvaisis;559
Marsillargues;302
Martel;170
Martignas-sur-Jalle;436
Martigny-les-Bains;72
Martigné-Ferchaud;298
Martigues;3035
Marvejols;747
Maré;426
Masevaux-Niederbruck;455
Masnières;400
Masny;455
Massac-Séran;203
Masseube;450
Massiac;122
Massy;3916
Matha;330
Matignon;218
Matour;279
Matoury;3318
Matzenheim;381
Maubeuge;4213
Maubourguet;218
Mauges-sur-Loire;1480
Mauguio;973
Maule;822
Mauléon;416
Mauléon-Licharre;440
Maupiti;38
Maurepas;2594
Mauriac;502
Mauron;321
Maurs;179
Mauvezin;342
Mauzé-sur-le-Mignon;359
Mayenne;1445
Mayet;239
Mazamet;1427
Mazingarbe;479
Mazières-en-Gâtine;242
Mazères;333
Maîche;862
Meaux;9509
Megève;524
Mehun-sur-Yèvre;446
Melesse;578
Melle;964
Melun;5682
Mende;2072
Mennecy;2177
Mens;200
Menton;2028
Menucourt;539
Mer;652
Mercurol-Veaunes;423
Merdrignac;373
Merlines;89
Mers-les-Bains;194
Mertzwiller;265
Merville;946
Merville-Franceville-Plage;401
Meslay-du-Maine;279
Mesnil-Saint-Loup;111
Mesnil-en-Ouche;265
Mesnils-sur-Iton;942
Mesnières-en-Bray;32
Metz;14628
Meudon;4621
Meulan-en-Yvelines;1272
Meung-sur-Loire;685
Meximieux;1024
Meylan;2048
Meymac;246
Meyrueis;146
Meyssac;189
Meyzieu;2240
Migennes;752
Mignaloux-Beauvoir;65
Mignières;294
Milhaud;1027
Millas;663
Millau;2238
Milly-la-Forêt;679
Mimizan;554
Mions;605
Mios;769
Miramas;1461
Mirambeau;246
Miramont-de-Guyenne;419
Mirande;470
Mirebeau;346
Mirebeau-sur-Bèze;450
Mirecourt;970
Mirepoix;919
Miribel;1108
Missillac;353
Mitry-Mory;2864
Miélan;155
Modane;394
Moirans;1279
Moirans-en-Montagne;210
Moissac;1562
Moissy-Cramayel;2333
Molsheim;2452
Moltifao;124
Monbahus;106
Moncontour;352
Moncoutant-sur-Sèvre;614
Mondeville;679
Mondoubleau;322
Monein;368
Monestier-de-Clermont;329
Monflanquin;340
Monistrol-sur-Loire;3070
Monléon-Magnoac;471
Mons-en-Baroeul;1339
Monsempron-Libos;285
Monségur;248
Mont Lozère et Goulet;86
Mont-Saint-Aignan;492
Mont-Saint-Martin;262
Mont-de-Marsan;4007
Mont-dore;1868
Mont-sous-Vaudrey;196
Montagnac;309
Montaigu-Vendée;3375
Montalieu-Vercieu;515
Montargis;2267
Montastruc-la-Conseillère;693
Montataire;1478
Montauban;6923
Montauban-de-Bretagne;1412
Montauroux;686
Montbard;272
Montbazon;678
Montbrison;3244
Montbron;198
Montbéliard;4036
Montceau-les-Mines;2122
Montceaux;687
Montcenis;262
Montchanin;430
Montcornet;182
Montcuq-en-Quercy-Blanc;128
Montdidier;1623
Montebourg;316
Montech;1431
Monteils;554
Montemboeuf;145
Montendre;442
Montereau-Fault-Yonne;2881
Montesquieu-Volvestre;334
Montesson;1224
Monteux;711
Montfermeil;1425
Montferrier-sur-Lez;516
Montfort-en-Chalosse;476
Montfort-l'Amaury;1528
Montfort-sur-Meu;2410
Montfort-sur-Risle;449
Montgeron;4582
Montguyon;231
Monthermé;214
Montholon;447
Monthureux-sur-Saône;215
Montignac-Lascaux;376
Montigny-en-Gohelle;325
Montigny-le-Bretonneux;5703
Montigny-lès-Cormeilles;1280
Montigny-lès-Metz;1519
Montivilliers;2903
Montlhéry;1135
Montlieu-la-Garde;263
Montlouis-sur-Loire;729
Montluel;699
Montluçon;3693
Montmagny;1068
Montmarault;158
Montmartin-sur-Mer;300
Montmirail;463
Montmoreau;182
Montmorency;2023
Montmorillon;1047
Montmort-Lucy;161
Montmédy;228
Montmélian;859
Montoir-de-Bretagne;380
Montoire-sur-le-Loir;509
Montpellier;23037
Montpezat-sous-Bauzon;238
Montpon-Ménestérol;561
Montrabé;461
Montreuil;8209
Montreuil-Juigné;747
Montreuil-sur-Mer;2077
Montreux-Château;373
Montrevault-sur-Evre;316
Montrevel-en-Bresse;743
Montrichard Val de Cher;470
Montrond-les-Bains;163
Montrouge;2946
Montréal-la-Cluse;626
Montréjeau;318
Montrésor;195
Monts;674
Montsalvy;137
Montsauche-les-Settons;92
Montsoult;554
Montsûrs;334
Montval-sur-Loir;1085
Montville;425
Montélimar;5232
Montévrain;657
Moorea;1074
Morangis;1396
Morcenx-la-Nouvelle;308
Mordelles;1301
Morestel;1350
Moret-Loing-et-Orvanne;672
Moreuil;471
Morhange;408
Morières-lès-Avignon;796
Morlaix;2509
Morlaàs;722
Mormant;797
Mornant;1171
Morne-à-l'Eau;1764
Morsang-sur-Orge;1315
Mortagne-au-Perche;1051
Mortagne-du-Nord;303
Mortagne-sur-Sèvre;513
Mortain-Bocage;747
Morteau;2023
Mortefontaine;1467
Morvillars;378
Morée;326
Mougins;795
Moulins;3074
Moulins-Engilbert;170
Moulins-la-Marche;191
Moulins-lès-Metz;624
Mourenx;760
Mourmelon-le-Grand;502
Mouroux;445
Moussey;151
Moussy-le-Neuf;129
Mouthe;519
Moutiers-les-Mauxfaits;1148
Mouvaux;332
Mouy;617
Moyeuvre-Grande;320
Moëlan-sur-Mer;378
Moûtiers;1573
Moÿ-de-l'Aisne;363
Mtsamboro;1615
Mugron;239
Mulhouse;11695
Mulsanne;313
Mundolsheim;557
Munster;869
Mur-de-Barrez;117
Murat;121
Murat-le-Quaire;147
Muret;3633
Murviel-lès-Béziers;566
Mussidan;380
Mutzig;639
Muzillac;822
Mâcon;6137
Mélisey;324
Ménigoute;167
Méricourt;587
Mériel;584
Mérignac;4253
Méru;2442
Méry-sur-Oise;609
Méry-sur-Seine;463
Mézidon Vallée d'Auge;454
Mézin;164
Nancy;11217
Nandy;444
Nangis;1301
Nanterre;5192
Nantes;24429
Nanteuil-le-Haudouin;794
Nanteuil-lès-Meaux;762
Nantiat;417
Nantua;866
Narbonne;6654
Naucelle;163
Navarrenx;211
Nay;1970
Nemours;1629
Nesle;236
Neufchâteau;1015
Neufchâtel-en-Bray;1270
Neuilly-Plaisance;775
Neuilly-Saint-Front;399
Neuilly-en-Thelle;913
Neuilly-sur-Marne;2341
Neuilly-sur-Seine;7159
Neuillé-Pont-Pierre;591
Neung-sur-Beuvron;260
Neussargues-Moissac;50
Neuves-Maisons;1025
Neuvic;463
Neuville-aux-Bois;626
Neuville-de-Poitou;630
Neuville-en-Ferrain;849
Neuville-sur-Saône;3583
Neuvy-Saint-Sépulchre;235
Neuvy-le-Roi;354
Nevers;4402
Nexon;301
Nice;22005
Niederbronn-les-Bains;341
Nieppe;721
Niort;8374
Nivolas-Vermelle;1251
Noailles;748
Noeux-les-Mines;1222
Nogaro;632
Nogent;319
Nogent-le-Roi;692
Nogent-le-Rotrou;1755
Nogent-sur-Marne;5102
Nogent-sur-Oise;3031
Nogent-sur-Seine;611
Noidans-lès-Vesoul;473
Noirmoutier-en-l'Ile;93
Noirétable;144
Noisiel;1114
Noisy-le-Grand;7643
Noisy-le-Roi;635
Noisy-le-Sec;3309
Nolay;169
Nomeny;336
Nonancourt;655
Nontron;582
Norrent-Fontes;421
Nort-sur-Erdre;2305
Noues de Sienne;225
Nouméa;6204
Nouvion;285
Nouvion-sur-Meuse;380
Nouzonville;294
Nouâtre;122
Novalaise;335
Noyal-sur-Vilaine;581
Noyant-Villages;182
Noyelles-sous-Lens;379
Noyen-sur-Sarthe;420
Noyers;156
Noyon;2628
Nozay;1043
Nozeroy;187
Noé;784
Nueil-les-Aubiers;285
Nuits-Saint-Georges;654
Nuku-hiva;291
Nyons;1078
Nérac;915
Néris-les-Bains;240
Nérondes;316
Nîmes;14909
Obernai;1625
Objat;581
Offranville;496
Oignies;454
Oisemont;244
Oissel;552
Oissery;602
Olivet;1860
Ollainville;593
Olliergues;84
Ollioules;1721
Olonzac;273
Oloron-Sainte-Marie;1712
Ombrée d'Anjou;245
Onet-le-Château;452
Onnaing;471
Oraison;404
Orange;3969
Orbec;438
Orbey;347
Orchamps-Vennes;282
Orchies;1786
Orcines;60
Orgelet;209
Orgerus;625
Orgon;636
Orgères;517
Orly;1282
Orléans;15801
Ormesson-sur-Marne;502
Ornans;735
Orsay;2828
Orthez;1921
Orvault;777
Osny;1599
Ostricourt;291
Ostwald;601
Othis;656
Ottange;25
Ottmarsheim;373
Ouangani;1927
Oucques La Nouvelle;227
Ouegoa;127
Ouistreham;531
Oullins-Pierre-Bénite;5457
Outreau;596
Ouvéa;165
Oye-Plage;458
Oyonnax;2387
Ozoir-la-Ferrière;2471
Pacy-sur-Eure;539
Pacé;1808
Paea;640
Pagny-sur-Moselle;352
Paimboeuf;369
Paimpol;1115
Paita;1946
Palaiseau;4093
Palluau;392
Pamandzi;2749
Pamiers;2591
Panissières;312
Pantin;4433
Papaichton;225
Papara;1413
Papeete;5691
Paray-Vieille-Poste;505
Paray-le-Monial;1237
Parempuyre;563
Parentis-en-Born;1711
Parigné-l'Evêque;474
Paris  1er Arrondissement;291
Paris  2e  Arrondissement;295
Paris  3e  Arrondissement;2676
Paris  4e  Arrondissement;5513
Paris  5e  Arrondissement;6165
Paris  6e  Arrondissement;9545
Paris  7e  Arrondissement;6445
Paris  8e  Arrondissement;5319
Paris  9e  Arrondissement;5183
Paris 10e  Arrondissement;5300
Paris 11e  Arrondissement;6085
Paris 12e  Arrondissement;9644
Paris 13e  Arrondissement;11890
Paris 14e  Arrondissement;5200
Paris 15e  Arrondissement;10243
Paris 16e  Arrondissement;16033
Paris 17e  Arrondissement;9818
Paris 18e  Arrondissement;6607
Paris 19e  Arrondissement;9299
Paris 20e  Arrondissement;9747
Parmain;607
Paron;593
Parsac;157
Parthenay;1741
Pas-en-Artois;384
Passy;1777
Patay;470
Pau;9238
Pauillac;2242
Paulhaguet;87
Paulhan;611
Pavilly;520
Pays de Belvès;355
Pays-de-Clerval;150
Pechbonnieu;821
Pecquencourt;728
Pellegrue;174
Peltre;264
Penne-d'Agenais;479
Penta-di-Casinca;502
Percy-en-Normandie;184
Pernes;345
Pernes-les-Fontaines;585
Perpignan;13330
Perros-Guirec;551
Persan;810
Perthes;559
Pertuis;1885
Pesmes;342
Pessac;4601
Petit-Bourg;2002
Petit-Canal;329
Petit-Couronne;504
Petite-Forêt;531
Petite-Ile;685
Petite-Rosselle;259
Peujard;571
Peymeinade;681
Peyrehorade;765
Peyrolles-en-Provence;563
Pfastatt;421
Pfulgriesheim;528
Phalsbourg;1367
Pia;770
Pibrac;1644
Piennes;304
Pierre-Buffière;388
Pierre-de-Bresse;250
Pierrefitte-Nestalas;100
Pierrefontaine-les-Varans;234
Pierrefort;51
Pierrelatte;2079
Pierrelaye;469
Piney;300
Pins-Justaret;2201
Pionsat;69
Pipriac;376
Pirae;1475
Pirey;409
Piscop;199
Pithiviers;1995
Piégut-Pluviers;166
Plabennec;958
Plaisance;131
Plaisance-du-Touch;838
Plaisir;2119
Plan-de-Cuques;610
Plancoët;530
Plateau d'Hauteville;342
Pleaux;70
Pleine-Fougères;428
Plescop;505
Plestin-les-Grèves;272
Pleumeur-Bodou;276
Pleyben;371
Ploemeur;953
Ploeuc-L'Hermitage;514
Plombières-les-Bains;225
Plouaret;235
Plouasne;229
Plouay;673
Ploubazlanec;22
Ploudalmézeau;665
Plouescat;422
Ploufragan;645
Plougasnou;120
Plougastel-Daoulas;879
Plouguenast-Langast;156
Plouha;357
Plouhinec;244
Plounéour-Ménez;285
Plouzané;1143
Plouër-sur-Rance;851
Plozévet;246
Ploërmel;2790
Pluneret;456
Pluvigner;665
Plélan-le-Grand;278
Plémet;287
Pléneuf-Val-André;550
Plénée-Jugon;443
Plérin;1022
Plésidy;202
Podensac;672
Poilly-lez-Gien;399
Poindimie;707
Pointe-Noire;439
Pointe-à-Pitre;2657
Poissy;5125
Poisy;547
Poitiers;11807
Poix-de-Picardie;383
Poix-du-Nord;284
Poligny;935
Pompey;19
Poncin;430
Ponerihouen;48
Pons;1064
Pont-Audemer;2517
Pont-Aven;325
Pont-Croix;184
Pont-Evêque;486
Pont-Saint-Esprit;835
Pont-Saint-Vincent;24
Pont-Sainte-Marie;648
Pont-Sainte-Maxence;1468
Pont-d'Ain;583
Pont-de-Buis-lès-Quimerch;287
Pont-de-Chéruy;1949
Pont-de-Roide-Vermondans;455
Pont-de-Salars;358
Pont-de-Vaux;399
Pont-de-Veyle;492
Pont-de-l'Arche;721
Pont-du-Château;906
Pont-en-Royans;280
Pont-l'Abbé;2137
Pont-l'Abbé-d'Arnoult;979
Pont-l'Evêque;509
Pont-sur-Yonne;562
Pont-à-Marcq;483
Pont-à-Mousson;2120
Pontacq;561
Pontailler-sur-Saône;356
Pontarlier;3245
Pontault-Combault;3163
Pontaumur;158
Pontcharra;1694
